smiles1,smiles2,ged
CC1(CCC1)O,NCC(N)C#N,6
C(=O)C#CC#N,C1CC1CC#N,4
OC1CNC1=O,c1c(non1)N,8
C(CC=O)C=O,c1(n[nH]nn1)O,10
N#CC1CCN1,Cc1c[nH]c(=O)[nH]1,5
CN=COC=O,OC1C2CCC12,6
C(#N)C#N,C1CCC(=NO)C1,10
CCC#CCC,CCCCC=O,3
NC(=O)C1CO1,N=C1OC=CC=N1,8
C(=O)C(=O)C=O,Cc1ccn[nH]1,9
C#CC#N,C1COC1=O,6
NC(=O)C1CO1,c1(=O)[nH]nn[nH]1,5
CNC(=N)C=O,c1(n[nH]nn1)O,9
CC1C(O)C1O,N=C1N=COC=N1,9
C#CCCCO,c1cnc(=O)oc1,5
OC12CC1CC2,Cc1nccn1C,6
CC1CCC1=O,Cc1cccnc1,9
CC(C)(C)OC,CN1CC1C#C,4
c1ccnc(c1)N,c1cnc(cn1)N,1
CC1CC1C,COCCC=O,4
Cc1c[nH]cn1,CC(C)(C=O)O,8
CC1NC1C#C,CCC(=NO)CC,5
NCC(N)C#N,CN=C1CCO1,6
CCC1CC1C,c1c(oc(=O)o1)O,7
CN1CC1,N=C1COCO1,7
CC1CO1,CC12CC(C1)C2,8
CCC(=O)CC,c1cn[nH]c1N,9
CC1COC1,Cc1ccoc1,7
CCC1CC1O,C1C2CCOC12,1
CCN1CC1,C12C3C1C1C2C31,6
N=COC=O,C#CC1CN1,5
CC1NC1C#C,Cc1cc(c[nH]1)O,8
C1CN1C=O,Cc1[nH]cc(n1)O,9
Cc1ccco1,[NH3+]CCC([O-])=O,7
C(#CC#N)C#N,N#CC1CCO1,4
N=COCC#N,C1C=CCC1=NO,7
N#CC1CO1,COCCCO,5
C1CN1CC#N,N=C1OC=NC=N1,9
O=CC1CO1,CC(=NO)C(=NO)C,10
C#CC(=O)C=O,Cc1ncccn1,11
Cc1cnc(o1)C,NC1=COC(=N)O1,8
CC(=O)C(=O)C,CCN(C)C=O,5
c1conc1O,Cc1ccoc1N,4
CC1(CC1)C,C#CCC=O,5
CCOCCO,COCC1CN1,4
c1nc(on1)N,c1ccc(cc1)N,7
CC(O)CCO,C1C2C3CC1C23,5
C(C(=O)C#N)O,N=C1OC=CC=N1,7
CCC(C)O,OC1CC2NC12,4
CC(C)C,CC1OCCO1,7
CC1COC1=N,CC1CCCO1,4
NC(CO)C#N,c1coc(c1N)O,7
C1CC(C1)O,C1CN1C(=O)N,6
OC1CNC1=O,COCC1CC1,6
OC12CN(C1)C2,c1nc(=O)nco1,8
CC(=O)C,c1c(oc(=O)[nH]1)N,9
c1cn[nH]c1N,c1c(oc(=O)o1)N,10
COCCCO,C1C2COCC12,3
C1C(=NO)CO1,C1CC(C1)C#N,5
COC1CC1O,c1c(nno1)N,9
c1c[nH]c(=O)nc1,c1ncnc(n1)N,9
CCCC,C(=O)C(C=O)O,6
C#CCC#C,N=C1N=CNC=N1,9
CC1OCC1O,c1(=O)onno1,6
CCCC1CC1,NC1=CNC(=N)O1,7
CC(=O)C(=O)C,CC1NCC1=O,3
CC1(CN1)C#N,CC1=COC(=N)O1,8
CCCOC,CC(C=O)C=O,5
CC1OC1CO,c1c(oc(=O)o1)O,5
CC(=O)C(=N)N,C1C(=NO)C=CN1,7
CC(C#C)C#N,c1(nnon1)N,9
CC1(CC1)O,OC12CC1OC2,3
C#CCCC=O,c1c(onn1)N,9
c1cc([nH]c1)N,c1c(c[nH]c1O)N,3
CC(=NO)CCO,c1cocnc1=O,5
C1C(=O)OC=N1,c1[nH]c(c(n1)O)N,9
CC(=O)NC,C#CC#CC=O,5
CC(O)C(C)O,Cc1coc(=O)o1,5
CCC1CCO1,C(C(F)(F)F)O,7
CNC(=O)C=O,OC1C2CC1C2,6
CCC#N,CC1CCCO1,7
CCC(=O)C#C,OC1CC1C#C,3
CN1CC1,C(C=O)C(=O)N,7
CC(=O)C1CO1,Cc1[nH]ncn1,9
C(=O)C(=O)C#N,CC(CO)C=O,4
Cc1cc[nH]c1,OC(C#C)C#N,6
N,CC1(CCC1)C,12
CCC1CC1C,c1c([nH]c(n1)O)O,10
C1CC(C1)CO,c1c(c[nH]c1N)N,10
CC1CC1,Cc1c[nH]c(=O)o1,9
CC(=O)C#N,c1cnoc1,6
CC(O)CC=O,OC1C2CCC12,4
CC1(CC1)C#C,c1cncoc1=O,8
c1cocc1N,C(C=O)C(=O)N,6
C(C(=O)CO)O,C(C#CC=O)O,4
CCCC(C)O,C1C2C1C1OC21,3
c1c(ocn1)N,COC(=O)CO,8
C1C2CC1C=C2,c1c[nH]c(c1N)O,10
CC(C)(C)C=O,CCC1(CC1)O,4
C#CC(=O)C#C,C(=O)C(=O)C=O,4
Cn1ccnc1,OC1CC1C=O,6
C1CCCCC1,Cn1ccc(c1)O,5
OC1CC2CC12,Cc1ccon1,8
CC1OCC1=O,Cc1nc(co1)N,9
CC(N)C#N,C1COC(=O)O1,8
CNC(=O)N,c1c(nco1)O,8
C1C(=NO)CO1,c1[nH]c(c(n1)O)N,9
CCC(F)(F)F,Cc1ccccn1,11
C(=O)N,c1c(c(co1)N)N,11
CC1CC1O,Cc1coc(=O)[nH]1,7
CC#CCCO,N=C1OC2CC12,5
CC(C)C=O,Cc1ccccn1,10
CC=O,CCCCC,6
c1coc(n1)N,C1COCC=C1,8
Cc1ncno1,Cc1ccoc1N,5
CC1(CC1)C#C,c1c([nH]c(=O)[nH]1)O,8
C#CCC#N,CN(C)CC#N,4
C#CC#N,N=C1OCC=C1,7
C(=O)NC(=O)N,Cc1nc(co1)N,8
CC1CCC1C,Cc1ccn(c1)C,5
C(C#N)O,CCCC#N,3
C#CC#CC#C,c1nc(on1)N,10
CCC(=NO)C,CC12CC1CC2,5
OCCC1CO1,C1CC12COC2,4
CC#CC(=O)N,C(=N)NC(=O)N,4
CC(=NO)CC#N,CC(C)C(=NO)C,3
C(=O)C=O,CC#CC(=NO)C,9
CCC(C)CO,Cc1cc(co1)O,7
O=CC1CCO1,Cc1ccncn1,10
COCC1CN1,C1CC12CCO2,4
C#CCNC=O,C1OC1C1CO1,6
C1C(=O)CN1,CCCOC=O,5
c1c(nc[nH]1)O,c1(nnon1)O,2
CC1CCC1=NO,Cc1c(nc[nH]1)C,8
C1C2CC1OC2,C#CC(=NO)CO,7
Cc1cc(co1)N,Cc1c(nc[nH]1)O,5
C(CO)O,C#CCCC=O,6
CC(=O)OC=N,N=C1OC=NC=N1,5
CC#CC,Cn1ncnn1,8
C[NH2+]CC([O-])=O,Cc1cc(c[nH]1)O,9
c1c(nco1)N,Cc1nc(co1)O,3
CCC(O)CO,c1cnc(nc1)O,9
c1(n[nH]nn1)N,c1c(oc(=O)[nH]1)N,10
CC1(CO1)C=O,c1coc(c1N)N,10
CCCOCC,Cc1ccncn1,9
C1CC1C=O,O1C2C1C1OC21,6
CC1=NCCO1,CC1NC1C#C,5
CC(=NO)CO,CC#CC#CC,6
CCC(=O)OC,COC(C)C#C,3
C1C2OC=NC12,c1ccnc(c1)O,9
CN1CC1C#N,C12C3C1N1C2C31,5
CC(C)COC,CN(C=N)C=O,5
C(=N)NC(=O)N,N=C1OC=NO1,4
CC1CC1C,c1c(non1)N,10
C1CO1,CC(=O)NC=O,8
CC(C)COC,COC(C)C=O,4
CC1OC1C#N,CC(=NO)COC,6
CCC1CO1,C1C(=NO)C=CN1,7
C1C2CC1O2,CCCCOC,4
c1ccc(cc1)N,Cc1c(cc[nH]1)O,5
CC(C)(C)OC,CC1CCC1=NO,6
CCC=O,CC#CC(C)O,6
c1c(nc[nH]1)O,C1C2CC1C=C2,9
c1ccoc1,Cc1ncc(o1)N,5
CC(O)C#N,c1ncnc(n1)O,10
CCO,Cc1cc(co1)N,10
c1c(nc[nH]1)N,CC#CC(C)O,8
C(=O)N,CCOC(=O)C,7
C1CC(C1)O,C1C2C3CN2C13,5
CC(=O)CC=O,c1c(coc1N)N,9
C1CC1(C#N)O,CCCN1CC1,6
CC1C(O)C1O,CC#CC1CC1,6
C1C(=O)NC=N1,CC1CC1C=O,5
c1c([nH]nn1)N,c1cncnc1N,5
CO,Cc1ccco1,10
c1c[nH]c(=O)[nH]1,CC(=NO)C1CN1,7
CC(=O)C(=O)C,CCC(C)C=O,4
CCCC1CC1,Cn1ncnn1,6
CCC(=O)C=O,Cc1c(nco1)N,9
CCCCC=O,Cc1c(cco1)O,7
C1C2C1C1NC21,Cc1cocc1C,10
CC12CC1OC2,Cc1ncon1,8
CC1CC(=O)O1,C1C2CCC1O2,3
CC(O)C(C)O,c1cocnc1=O,7
CC1CO1,c1cnoc1,7
O=C1CN2CC12,c1c(nn[nH]1)O,9
C(=O)C=O,CCCCC#C,8
CC(C=O)C=O,N=C1COCO1,6
OC1CC2NC12,c1c(non1)N,9
CC(=N)OC=O,C1C2CC1OC2,6
CCCC1CC1,Cc1cc[nH]n1,8
C1CC1CC=O,CC1CC(C1)=NO,5
O=C1NC2CC12,C1C2C3CC1C23,4
CCC(F)(F)F,c1c[nH]ccc1=O,9
CCC1CC1,CC1C2COC12,4
COC,OC1CN2CC12,9
CC1OCC1O,C1CC(C1)CO,3
C(#N)C(=O)C#N,c1conc1O,8
c1ccoc1,CN=C1CCO1,9
CC1C2CC1C2,Cc1nc(co1)N,10
CC(C)N1CC1,c1ncoc(=O)n1,8
CC1CC1,Cc1ccncn1,10
c1cc([nH]c1)N,ON=C1CN2CC12,10
c1c(nco1)O,COC(=O)C#N,7
CC(C)(C)C,CN=COC,6
CN(C)C(=O)N,CC(C=O)C#N,3
CC(=O)C,CC#CCC=O,6
CC(C)OC,COCCC=O,4
c1c(n[nH]n1)O,c1c(oc(=O)o1)O,10
C#CC(=O)C=O,C(CC#N)C=O,4
CCC1(CC1)C,Cc1ccc(o1)N,9
OC1CC1C#C,Cc1cc([nH]c1)O,8
c1c[nH]nc1,c1c[nH]cc1O,3
C(=O)(N)N,CC#CCC#C,9
C,OCC(O)C#C,10
CC(C)(C#N)O,CC1COCO1,5
c1coc(n1)N,C#CC1CCC1,9
CC1(CC1)C,c1[nH]c(c(n1)N)O,11
N=C1N=CNC=N1,c1cnc[nH]c1=O,4
COC(=O)C#C,C#CCCCO,3
CC12CCC1O2,C1C=CCC1=NO,7
CC(C)CO,C(#N)C(C#N)N,5
N=C1CCO1,C(F)(F)(F)F,8
CC1COC1,CC1CC1(C)O,4
C1CC1CC#N,CCC1CC1C,3
C1CCC(=NO)C1,c1ccnc(c1)O,9
CC1(CC1)O,CCOC(=O)C,5
NC1COC1=O,Cc1c[nH]cc1C,10
OC1CCC=C1,c1(=O)[nH]nn[nH]1,6
COCCO,CC(C)N1CC1,6
Cc1ccn(c1)C,Cc1ccccn1,8
c1cnnnc1,CC(=NO)C(=NO)C,12
c1c(nc([nH]1)O)O,Cc1cocc1C,6
CCC1(CC1)C,N=C1CN=CN1,6
Cc1ccco1,N=C1CCCO1,7
N=C1NC=NC=N1,c1cncc(=O)[nH]1,6
CCC,C1CC1CCO,7
CC1(COC1)O,Cc1n[nH]nn1,10
Cc1n[nH]nn1,c1cnc(cn1)N,7
CCC1(C)CO1,C1C(=O)NC=N1,6
CC1OCC=C1,O=CCC1CN1,5
C#CCC(=O)N,c1ccoc(=O)c1,5
C#CC#N,CC1=NCCO1,8
C(CO)C#N,Cc1cc(oc1)N,9
CCOCC,CC1(COC1)O,5
CC1NCC1=O,c1cnc(cn1)O,9
C1COCO1,C1C2CC=CC12,6
Cc1ccco1,CC1NC1C#N,8
C1C(=O)CO1,CC1OC1C#N,6
CCCCO,c1[nH]c(=O)ncn1,8
c1c(nc[nH]1)N,N=C1NC=NC=N1,8
C(CO)C#N,CC(O)C1CO1,5
C1CC(=O)C1,c1c([nH]c(n1)O)O,11
c1ccnnc1,c1(n[nH]nn1)O,6
CC(O)CC#N,c1cnnnn1,10
C(=O)(C(=O)N)N,c1cc([nH]c1O)O,10
c1ccccc1,OC1CCOC1,9
C1C2C3CN1C23,c1ncnc(n1)N,12
CNC(=O)NC,C(CC#N)C#N,6
COC(C)=N,CC(C)COC,5
CCC(C)(C)O,c1coc(c1O)N,8
CNC(=O)CO,Cc1c[nH]c(=O)o1,5
CCC1CCC1,Cc1cnc(o1)C,8
CO,CC1COC1,7
C1CC(=O)C1,OC1CC1O,4
Cc1[nH]cc(n1)O,c1cc([nH]c1N)O,2
COC(C)C#N,C1CN1C(=O)N,7
O,Cc1c(ocn1)C,13
OC1CCOC1,c1nc([nH]n1)O,8
CC#CC(=O)N,C1C(=O)OCO1,4
C(C=O)OC=O,c1ccnc(c1)N,11
CC1OC1C#C,c1nc(on1)N,9
CC1CCC1,C1C2C3OC1C23,4
CC(O)CO,CC1CC=CC1,5
CC=O,CC1(CCO1)C,8
CCO,CC1(O)CC1O,7
C1CN1C(=O)N,C12C3C1N1C2C31,6
c1coc(=O)[nH]1,CC(=O)C(=O)N,4
OC12CC(C1)C2,CC1C(C)C1C,6
N,c1cnc(cn1)N,13
CC(C)C,CC(C)CC#C,4
C#CC=O,CC1CC1O,5
C#CCC1CC1,Cc1ncon1,9
CCC(F)(F)F,c1cnc(nc1)O,11
C(=O)C(=N)N,C1CN(C1)C=O,7
CC(CO)C#C,O=C1CC2NC12,5
CC1(CO1)C#C,COCC1CC1,4
CC(C)CO,c1cn[nH]c1N,9
C#CCC1CO1,c1cnc(nc1)N,10
CCC(C)O,Cc1cnc(o1)C,8
CC1CC=CC1,Cc1ccn[nH]1,7
C1CC1NC=O,c1c(non1)N,9
CC(C)(C=O)O,CCCC1CO1,5
C1CC1OC=O,ON=C1CC(O)C1,7
CCO,Cc1c(cc[nH]1)O,10
CC(O)CC#C,CC1(CC1)OC,3
CCNC(=O)N,C1C2C1C1NC21,6
COC(=O)CN,CC1CC1CO,5
CC(=NO)C(=NO)C,Cc1cc(oc1)N,10
OC1CCOC1,C(C#CC=O)O,4
c1cc([nH]c1)N,CC1COC=N1,7
C#CCNC=O,C1CC1C(=O)N,4
ON=C1CC2CC12,c1cncoc1=O,7
COC(C)=N,Cc1ccc[nH]1,7
c1ccccc1,c1c(nc([nH]1)O)O,8
OC12CC(C1)C2,C1C(CO1)C=O,4
CCCC#C,c1coc(c1N)N,9
OC(C=O)C#C,C1CN1CC=O,5
CC(=N)NC=O,CC1CC1C#N,6
CCCO,CCC#CC,4
CC(=O)CO,CC1CC1C=O,6
CC(=O)OC=N,C1C2CCCC12,7
CNC(=O)NC,Cc1[nH]c(cn1)O,9
N=C1CCCO1,C1CC1CC#N,4
c1c[nH]cc1N,c1coc(=O)cn1,9
c1cocn1,CC(C)(C)O,8
CCCC(=O)C,C1CC(=O)C=C1,1
N=C1ON=NO1,Cc1nccn1C,9
CCNC(=O)N,CCCC1CO1,4
C#CC1CC1,C(C#CCO)O,6
CC(=O)N(C)C,N=C1OC=CC=C1,7
CC(C)(C)CO,CN1CC(=NO)C1,7
C#CCCO,c1c[nH]c(c1O)O,8
C#CC(=NO)C#C,Cc1c[nH]c(n1)O,9
CC(=O)CC#C,Cc1n[nH]nn1,9
CCOCC,c1nnno1,8
CC1CCC1C,Cc1cc(oc1)C,8
CC1(CCC1)O,C#CCCCO,3
C#CCC(=O)N,COC(C)C#C,5
C1C(=NO)C=CN1,Cn1ccc(c1)N,5
CNC(C)C#N,O=C1CN2CC12,4
COC=O,c1c([nH]c(=O)[nH]1)N,8
C1C2CCC1O2,C1COCOC1,4
N#CC1CN1,CC1NC1C=O,4
C1C=CCO1,c1cnc([nH]1)O,8
Cc1[nH]ncn1,c1c(nn[nH]1)N,3
C#CC(C#C)O,CCC(=O)OC,4
CC(C)(C)C#N,CC(=N)NC=O,7
CN=C(C=O)N,O=C1CC2NC12,4
C(=O)N,CC1OCCO1,9
CCC(O)CO,OC1=COC(=N)O1,5
CC1(CO1)C#C,C1COCCO1,6
C1CC1CC#N,c1c([nH]nn1)N,9
CC(C)C(C)O,O=CCC1CN1,4
C1C2C3OC1C23,CC(=NO)CC#C,7
CCCCO,CC1CC(C)C1,4
C1C=CCO1,CC1(CO)CO1,6
CC(C)O,CC(CO)C=O,5
CC1(CN1)C#N,c1[nH]c(=O)ncn1,8
N=C1OC=CO1,Cc1c[nH]cc1N,10
C1CC1C2CC2,c1c[nH]nc1O,10
C1CN1CCO,c1cnc[nH]c1=O,6
CC#CC(=O)N,N=C1N=CNC=N1,7
CCC1(C)CO1,N=COC1CC1,5
C(#N)C(=N)N,NC(=O)C1CO1,6
OC(C=O)C#N,CN=CNC=O,5
C12C3C1C1C2C31,c1nc(c(o1)N)N,13
C1C2OCOC12,C1CC(=NO)C=C1,8
C#CC=O,OC1=CNC(=N)O1,10
C(C(=O)N)O,c1[nH]nc(n1)N,9
C#CCOC=O,C1CCC(=NO)C1,6
CC#CC(C)O,CC(=O)NC=N,5
COC,c1cn[nH]n1,9
C1C(CO1)C=O,CC1NC1C#C,6
CC(O)CC#N,Cc1c[nH]c(=O)o1,6
CCC#CCO,C1CC2OC2C1,3
C1OC1C1CO1,ON=C1CC2NC12,7
CC#CC(C)O,C1CN1CCO,5
CCCC(=O)N,N=C1OCCO1,4
C(=O)C(F)(F)F,c1ccnc(c1)N,12
CC(=O)C#N,CC1CN1C=O,6
C#CCOC=O,C1C2OC=NC12,4
NC(=[NH2+])C([O-])=O,OC1CCC1O,6
CCC(O)CO,c1c[nH]c(c1O)N,7
C(=O)(C(=O)N)N,CC1(CN1)C#N,7
N=C1CCO1,CC1NC1CO,5
C1C(=O)CO1,OCC(O)C=O,4
c1c([nH]cn1)O,C1CC1(CO)O,8
CC(C)C(C)O,CC12CC1CO2,2
C(C=O)C(=O)N,N=C1NC=NC=N1,6
CC1(CC1)O,C(=O)(C(=O)N)N,6
OCC(O)C#N,Cc1c([nH]cn1)O,8
CC1CCC1=NO,Cc1c(ocn1)N,9
C1C2C3CN2C13,c1c(c[nH]c1N)O,11
C1C2CCC12,c1ccc(cc1)O,11
C#CC1COC1,CC1NC1C#C,4
CN1CC(C1)O,CC1CCCO1,3
C(=O)C(=N)N,Cc1c[nH]c(=O)[nH]1,9
c1c(nc(o1)N)O,N=C1N=CNC=N1,9
c1cncnc1,Cc1ccon1,5
Cc1c[nH]cn1,CC1OC1C#N,8
COC(=O)N,OC1=CNC(=N)O1,6
CC1(CC1)OC,c1nncnn1,12
c1c(nc[nH]1)O,CC1C2CC1O2,9
C1CC(C1)C=O,CC(C)C1CO1,4
CC(C)C(C)C,CC1CC(=O)C1,4
CC1CCC1=O,CC1CCC1O,1
C(=O)C(=O)C#N,Cc1cnccn1,10
CCCCCC,N1C2C1C1NC21,5
CC#CC,C1C2C3OC2C13,8
C(C#N)C#N,C1CC1CCO,7
C1C2C3OC1C23,Cc1cccn1C,5
O=CC1CN1,C#CC(=NO)C#C,8
C1CC(C1)O,C1CN1CCO,5
CN=COC=O,CN1CC1C#N,5
COC(C)C#N,C1C2CC1OC2,4
c1coc(=O)[nH]1,Cc1c[nH]cc1O,9
c1cnoc1,Cn1cnnc1,9
CC(C)(C=O)O,C1C2C3C1CN23,8
CC1COC1=O,c1cc([nH]c1N)O,10
CC(C)O,c1c(c(c[nH]1)O)N,9
c1[nH]ncn1,OC1C2CC1O2,12
C#CC(=O)CO,Cc1coc(=O)o1,6
CCCC(=O)C,[NH3+]CCC([O-])=O,2
CC(=O)N,C(CC#N)C#N,8
CC1CCCO1,Cc1ccoc1C,7
C(C=O)C(=O)N,CC(=O)C1CC1,4
C1CC1CO,c1c(c[nH]c1N)O,9
CC(C)(C#C)O,N=C1OCCO1,7
C(C#CC#N)O,Cc1c(nco1)O,8
CC#CC#N,Cc1ccccc1,9
Cc1ccoc1,C1C(CO1)CO,7
CC(=O)NC,CC#CC#C,5
CCC(=O)C,N=C1OC=CC=N1,8
CC(=O)C=O,C1CCOCC1,7
CC1(CO1)C#N,Cc1ccc([nH]1)N,10
c1c(nc[nH]1)O,CC1CC(=O)N1,8
C1COC1=O,C1C(=NO)CO1,4
C1CO1,CCCCC#C,8
CC(=O)CCO,C1CC2OC2C1,4
CCC(C)C#N,Cc1conn1,7
C(C#N)C(=O)N,CC12CC(C1)C2,7
CC(C)C(=O)C,C#CCCC#N,5
CCOC,CCCC(=NO)C,7
OC1CNC1=O,c1(nnon1)N,9
C(CC#N)C=O,Cn1cc(nc1)O,6
C(=O)C#CC=O,Cc1c(cc[nH]1)O,9
CC1CCCC1,c1c(onn1)N,9
C(CO)O,C1OC1C1CO1,6
C#CCC1CO1,OC1C2CCC12,4
CC(C)NC=O,c1c(cncn1)N,9
CCC(=O)C#N,c1nncnn1,10
C#CC#CCO,CC#CC1CC1,4
CCC(=O)C=O,c1c(oc(=O)o1)N,6
COC(C)=N,OC1CCC1O,6
C1C(=O)CO1,Cc1cnco1,8
CCC(C)O,c1conc1N,8
CC#CC#N,C1C(CO1)C#N,5
C1CNC1=O,CC1(CC1)OC,6
CCCC=O,c1ccoc(=O)c1,5
C1CC1,C12C3C1N1C2C31,9
C(#N)C(C#N)N,C(C(=O)C=O)O,6
CC(=O)NC,Cc1nc(co1)N,8
CC(=O)C1CC1,CC(C)C1CC1,2
CC1CC(=O)C1,CC1CCOC1,3
c1c(nc[nH]1)O,CC1CC(O)C1,8
c1nc(on1)N,c1cn[nH]c1O,3
Cc1ccno1,c1coc(c1N)O,4
CC1(CO)CN1,OC1=CNC(=N)O1,7
CC#CCOC,Cc1cc([nH]c1)O,7
c1c[nH]nc1,N1C2C1C1NC21,10
C(CC=O)C=O,c1c(oc(n1)O)N,9
CCOC1CC1,C1CC(=NO)C=C1,7
c1cc(oc1)N,Cc1cc(co1)O,3
CC1COCO1,c1ncoc(=O)n1,6
CC(N)C#N,CCCC(=O)N,6
CC1OC1C#N,c1c([nH]c(n1)O)O,9
CC(=NO)C(=O)N,Cc1cnc(o1)N,8
C1OCC2OC12,c1cnc[nH]c1=O,6
OC1C2CC1C2,Cc1cnccn1,11
C(=O)NC(=N)N,C(C#N)OC=O,4
COC1CCC1,c1cncnc1O,10
OC1CN2CC12,Cc1ccon1,8
CCC1CC1,C1CC1(CO)O,3
c1c(nno1)N,N=C1OC=CC=C1,10
CC1(CO1)C,Cc1cc(c[nH]1)N,10
c1cnc([nH]1)O,C1COCC=C1,8
CCC1(CC1)O,c1c[nH]c(c1O)N,8
CC1CC(C)O1,CC#CC(=NO)C,6
Cc1ncco1,C1C2COCC12,8
OC(C=O)C#C,CC1CCOC1,4
CC12CC1OC2,Cc1cn(cn1)C,5
C(C(=O)N)O,Cc1c(ocn1)C,9
CC(=NO)CC=O,c1c(nc([nH]1)O)N,10
CC(C)(C#C)O,Cc1cc[nH]c1C,9
CCNCC#N,Cn1cccc1N,5
C#CCCCO,Cc1conn1,8
CNC(=O)C=O,CC1COC1=N,5
c1nnon1,CC1OC1C=O,11
C(CO)C=O,Cc1nnon1,9
c1cnnnn1,CCC(=NO)CC,12
CC(O)C(C)=NO,Cc1cc(oc1)C,8
CC(C)(C)C=O,C1OCC2NC12,6
Cc1ccoc1,CCC(O)C=O,6
CC#CC(=O)N,C1CC2(C1)CC2,6
Cc1ccccn1,c1[nH]c(c(n1)O)N,6
CC(=O)N(C)C,Cc1c[nH]cc1O,8
OC12CN(C1)C2,C1CC(C1)C=O,4
n1nnon1,COCC(=O)N,10
C(C=O)C(=O)N,CCC(C)OC,5
CC(=O)NC=O,C1OC2COC12,6
CCC1CC1C,Cc1cnc(o1)O,9
c1cocn1,C1COCOC1,9
CC1COCO1,C(CC#N)CO,4
CC(C)OC,CC1(CO1)C#N,3
CC(C)CO,Cc1c[nH]nn1,8
O,CC#CC1CC1,12
COC(C)C#N,COCCOC,4
COC(C)C=O,CC1C2CCC12,5
CC1COC1=O,C1OCC2OC12,5
C#CC#CC=O,CC(C)C1CO1,5
Cc1cnc(o1)C,Cc1cn(cn1)C,7
Cc1ccno1,c1c(nn[nH]1)O,3
C#CC(=O)C=O,c1conc1N,8
C(#N)C(=N)N,O1C2C1C1OC21,10
OC12CC1CC2,N=C1NC=NO1,7
C1CC1CC#N,COCC1CO1,4
CC1COC1C,CCCC(=NO)C,5
OC12CC1OC2,c1c([nH]c(n1)O)N,10
C(=O)NC=O,c1c(c(co1)N)N,10
COC(C)C=O,C(C(F)(F)F)O,6
OC1COC1=O,c1c([nH]c(=O)[nH]1)O,5
CCC(O)CO,CN1CCC1=O,4
C#CC(=O)C#C,c1c(oc(n1)O)N,10
C(=O)C(=N)N,C(F)(F)(F)F,7
COC1CC1,N=C1CCCO1,4
CC1C(C)C1O,C1C(CO1)CO,3
C(C#CCO)O,C1CC2OC2C1,4
C1CC1(C#N)N,Cc1c[nH]c(=O)o1,7
C1C(=O)CN1,c1c(n[nH]n1)O,9
CC(C)(C#C)O,CC1CCC1=NO,6
C1CC1O,Cc1c[nH]c(n1)C,11
CCOC1CC1,c1cc([nH]c1O)O,9
C(=O)(N)N,CC1CCO1,6
C=O,C(C#CCO)O,9
CC(C)C#C,C(C#CCO)O,5
Cn1nccn1,c1cn[nH]c1N,7
Cn1ccnc1,C1C=CC2NC12,4
COC1CC1C,c1coccc1=O,4
CN=CNC=O,C1CC1CC#N,6
CC1(COC1)C,c1c[nH]c(c1O)O,9
C(F)(F)(F)F,Cc1ccccc1,13
C#CC(=O)N,CC1CCCO1,6
OC1CC=CC1,OC1=COC(=N)N1,6
CCOC(C)C,CCCCC=O,3
c1ncncn1,OCC(O)C#N,10
COC(C)C#N,c1ncnc(n1)N,10
OC12CC1CC2,CC1C2CCC12,3
N#CC1CO1,COCCOC,5
C1C(=O)OCO1,Cc1cc([nH]c1)O,9
CC1CC1(C)C,CCCCC=O,4
CC1OC1CO,ON=C1CC(O)C1,6
OCC1CCO1,Cc1[nH]c(cn1)O,8
CCNC=O,CC1(COC1)O,6
ON=C1CC2NC12,c1c(nc([nH]1)O)N,10
CC1(CC1)O,CC1OC1(C)C,4
CCC(=O)NC,C1C=CC(=O)N1,2
C#CC(=O)CO,Cc1cocc1N,9
CC(O)C1CC1,N=C1OC=CC=N1,8
N=C1NN=NN1,c1cnccc1O,12
C(CO)O,c1c(nno1)N,8
N#CCC1CN1,C1COCC1=NO,6
O=C1CC2CN12,Cc1coc(=O)o1,5
CC12CC(C1)O2,Cc1cn[nH]n1,10
C1CCC(=NO)C1,c1cnc(=O)oc1,6
Cc1ncno1,Cc1c(cc[nH]1)O,4
C1C(=O)CN1,C1CNC(=O)N1,6
CCO,CN1CC1CO,7
CC(O)C1CN1,O=C1CC2NC12,2
OC1COC1=N,OC1=CNC(=N)O1,6
C1C=CC2NC12,c1cc([nH]c1N)O,9
C1COC1=O,Cc1cn[nH]n1,10
c1ccnnc1,c1cnc(cn1)O,4
C#CC(=O)C=O,c1c(cn[nH]1)O,8
C(=O)NC(=N)N,CCC#CCO,7
CC1(CC1)C#N,C1CC1C2CC2,5
N=C1OCCO1,C#CCOC=O,4
CC#CC#N,Cc1c[nH]c(=O)[nH]1,8
CCOC(=O)C,c1c[nH]c(c1N)O,9
N=COCC#N,COCCC#C,5
CC1COCO1,C1COCC=C1,3
CC(=O)NC=N,Cn1nccn1,6
CCC1CO1,ON=C1CC(O)C1,6
C(=O)N,n1nnon1,8
NCC(O)C#N,c1c([nH]nn1)N,7
CC(=O)NC,c1cnoc1,6
C1C=CCC1=NO,c1cc([nH]c1N)N,10
CC#CC(=O)C,CC(C=O)C#C,4
CC1CCC1,OCC(O)C=O,5
Cc1[nH]ncn1,Cc1cc(co1)N,5
C[NH2+]CC([O-])=O,Cc1c(cco1)O,9
CNC(=O)CO,c1c(oc(=O)[nH]1)O,5
CC#CC,CCC1COC1,6
ON=C1CC(O)C1,c1c(c(co1)N)N,10
CC(C)(C#C)O,CCN(C)C=O,4
Cc1c[nH]c(n1)C,N=C1N=COC=N1,8
